Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
HMC,Krafttrennobjekt zum Rotieren von Substanzen in einer festen Kammer,Zyklon,Hydrozyklon
HP,Stoffbearbeitungsobjekt zum thermischen Trennen vermischter Substanzen,Thermisches Trennobjekt,
HPA,Thermisches Trennobjekt zum Entfernen von Feuchtigkeit,Trockner,
HPB,Thermisches Trennobjekt zur Erzeugung der Dampfform einer Flüssigkeit,Destilliersäule,"Destilliergerät, Verdampfer"
HQ,Stoffbearbeitungsobjekt zum mechanischen Trennen von vermischten Substanzen,Mechanisches Trennobjekt,
HQA,Mechanisches Trennobjekt zum Entfernen von Substanzen von der Oberfläche von Flüssigkeiten,Abstreifer,
HQB,Mechanisches Trennobjekt für Partikel basierend auf deren Größe und/oder Form,Trenngitter,"Beutelfilter, Filter, Rechen, Sack"
HR,Stoffbearbeitungsobjekt zum elektromagnetischen Trennen von vermischten Substanzen,Elektrisches oder magnetisches Trennobjekt,
HRA,Elektrisches oder magnetisches Trennobjekt mit einem elektrischen Feld,Elektrostatischer Separator,elektrostatischer Filter
HRB,Elektrisches oder magnetisches Trennobjekt mit einem magnetischen Feld,Magnetabscheider,
HS,Stoffbearbeitungsobjekt zum chemischen Trennen von vermischten Substanzen,Chemisches Trennobjekt,
HSA,Chemisches Trennobjekt zum Ionenaustausch,Ionenaustauscher,Elektrolysator
HSB,Chemisches Trennobjekt zur Absorption,Absorber,Absorptionswäscher
HSC,Chemisches Trennobjekt zur Adsorption,Adsorber,
HU,"Stoffbearbeitungsobjekt, mit dem festes Material zerkleinert wird",Schleif- und Zerkleinerungsobjekt,
HUA,"Schleif- und Zerkleinerungsobjekt für weiche, mittelharte, fasrige und feste Stoffe",Schneidmaschine,Abfallzerkleinerer
HUB,Schleif- und Zerkleinerungsobjekt zum Verarbeiten von Teilen in präzise Größen und Formen,Mühle,"Getreidemühle, Wassermühle"
HUC,Schleif- und Zerkleinerungsobjekt für Steine,Brechwerk,Steinbrecher
HV,"Stoffbearbeitungsobjekt, mit dem größere Formen von Material erzeugt werden",Anhäufungsobjekt,
HVA,Anhäufungsobjekt zum Komprimieren oder Formen eines Materials in Pelletform,Pelletiergerät,
HVB,"Anhäufungsobjekt zum Ermöglichen eines Prozesses, bei dem Kolloide in Flockenform gebracht werden",Flokkuliergerät,Flokkulierapparat
HW,"Stoffbearbeitungsobjekt, mit dem verschiedene Substanzen gemischt werden",Mischobjekt,
HWA,"Mischobjekt, mit dem aus einer Substanz eine andere Substanz mit neuen Eigenschaften erzeugt wird",Mischer,Knetmaschine
