Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
QRC,Variierobjekt für feste Substanzen mit Scharnierklappe oder Scheibe,Klappenventil,Dosierer
QS,Steuerobjekt für mechanische Bewegung,Objekt zur Steuerung mechanischer Bewegungen,
QSA,Objekt zur Steuerung mechanischer Bewegungen zum Blockieren,Schloss,Verriegelungsgerät
QSB,Objekt zur Steuerung mechanischer Bewegungen zum Umschalten zwischen unterschiedlichen Gleisen,Gleisschalter,Eisenbahnweiche
QZ,Steuerobjekt in Stromkreisen unter Verwendung verschiedener Maßnahmen,Steuerobjekt mit mehreren Maßnahmen,
QZA,Steuerobjekt mit mehreren Maßnahmen zum Erden oder Trennen von elektrischen Stromkreisen,Erdungs- und Trennschalter,
R,Objekt zur Begrenzung oder Stabilisierung,Begrenzungsobjekt,
RA,Begrenzungsobjekt durch Einschränken des elektrischen Energieflusses,Elektrizitätsbegrenzungsobjekt,
RAA,Elektrizitätsbegrenzungsobjekt zum Blockieren des Stromflusses in eine Richtung,Diode,
RAB,Elektrizitätsbegrenzungsobjekt zum Erzeugen von Induktivität in einem Stromkreis,Reaktor,"Begrenzer, Reihendrosselspule"
RAC,Elektrizitätsbegrenzungsobjekt zum Erzeugen von Widerstand in einem Stromkreis,Widerstand,
RB,Begrenzungsobjekt durch Stabilisation eines elektrischen Energieflusses,Elektrizitätsstabilisierungsobjekt,
RBA,Elektrizitätsstabilisierungsobjekt zum Sicherstellen einer kontinuierlichen Stromversorgung,Unterbrechungsfreie Stromversorgung,USV
RBB,Elektrizitätsstabilisierungsobjekt zum Unterdrücken eines definierten Frequenzbereichs innerhalb eines Stromflusses,Leistungsfilter,
RBC,Elektrizitätsstabilisierungsobjekt zum Bereitstellen von reaktiver Leistung,Phasenkompensator,"Leistungsfaktorkorrektursystem, Leistungsfaktorkorrektureinheit, Spannungskompensator"
RBD,Elektrizitätsstabilisierungsobjekt zum Unterdrücken oder Verstärken mehrerer Frequenzbereiche innerhalb eines Stromflusses,Leistungsausgleicher,
RF,Begrenzungsobjekt zur Stabilisierung eines Signals,Signalstabilisierungsobjekt,
RFA,Signalstabilisierungsobjekt zum Unterdrücken oder Verstärken mehrerer Frequenzbereiche des Signals,Signalausgleicher,
RFB,Signalstabilisierungsobjekt zum Unterdrücken eines definierten Frequenzbereichs des Signals,Signalfilter,Ferrit
RL,Begrenzungsobjekt zur Begrenzung von Bewegung,Bewegungsbegrenzungsobjekt,
RLA,Bewegungsbegrenzungsobjekt zum Einschränken der Bewegung eines Objekts,Sicherheitskette,"Türkette, Ankerschiene"
RLB,Bewegungsbegrenzungsobjekt zum Verringern und Dämpfen von Bewegungen eines Objekts,Stoßdämpfer,Gummitülle
RLC,Bewegungsbegrenzungsobjekt zum Reduzieren der Geschwindigkeit oder zum Stoppen eines anderen Objekts,Bremse,
RLD,Bewegungsbegrenzungsobjekt zum Verhindern von hohen Geschwindigkeiten eines anderen Objekts,Bodenschwelle,
RM,Begrenzungsobjekt zur Begrenzung des Rückflusses von Stoffen,Rückflussbegrenzungsobjekt,
RMA,Rückflussbegrenzungsobjekt für Flüssigkeiten,Rückschlagventil,
RMB,Rückflussbegrenzungsobjekt für Gase,Klappe,
RMC,Rückflussbegrenzungsobjekt für Feststoffe,Klappe,
RMD,Rückflussbegrenzungsobjekt für Gerüche,Geruchsverschluss,
RN,Begrenzungsobjekt zur Begrenzung des geführten Rückflusses von Stoffen,Durchflussbegrenzer,
RNA,Durchflussbegrenzer für Flüssigkeiten durch einstellbare Mittel,Regelventil,"Absperrhahn, Dusche, Duschkopf"
RNB,Durchflussbegrenzer für Gase durch einstellbare Mittel,Regelklappe,"einstellbare Düse, Lufteinlass, Luftauslass, Lüftereinlass, Lüfterauslass"
RNC,Durchflussbegrenzer für Feststoffe durch einstellbare Mittel,Regelventil für Feststoffe,
RND,Durchflussbegrenzer durch feste Mittel,Diffusor,"feste Düse, Messblende, Dusche, Duschkopf"
RQ,Beschränkungsobjekt für die lokale Umgebung,Lokales Klimastabilisierungsobjekt,
RQA,Lokales Klimastabilisierungsobjekt zum Beschränken einer thermischen oder akustischen Übertragung,Isolierung,Ausmauerung
RQB,"Lokales Klimastabilisierungsobjekt zum Stabilisieren eines Flüssigkeits-, Feuchtigkeits-, Wind- oder Materialstroms",Membran,Klimamembran
RQC,Lokales Klimastabilisierungsobjekt zum Stabilisieren und Abschirmen von Schall,Lärmschutzwand,"Lärmschutz, Schallwand"
RQD,"Lokales Klimastabilisierungsobjekt zum Beschränken von Wind, Niederschlag oder Strahlung",Blende,
RQE,Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe von Textilien,Vorhang,
RQF,"Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe von eng aneinanderliegenden, einstellbaren Jalousien",Jalousie,
RQG,Lokales Klimastabilisierungsobjekt durch Beschränken der Übertragung von Licht mithilfe einer externen Abdeckung,Fensterläden,
RQH,Lokales Klimastabilisierungsobjekt zum Verhindern von Unkrautwuchs,Unkrautbekämpfungsvlies,
RQJ,Lokales Klimastabilisierungsobjekt zum Beschränken von Sicht und Schall,Sichtschutzwand,
RU,Begrenzungsobjekt zur Zutrittsbegrenzung,Zutrittsbegrenzungsobjekt,
RUA,"Zutrittsbegrenzungsobjekt mit horizontaler, länglichen Barriere mit vertikaler Ausdehnung",Zaun,
RUB,Zutrittsbegrenzungsobjekt mit beweglichem horizontalem Balken,Beweglicher Balken,Schranke
RUC,Zutrittsbegrenzungsobjekt mit drehender Barriere,Drehkreuz,"Zutrittsverwaltungsgerät, Einwege-Tür, Torvorrichtung, Ticket-Durchgang"
RUD,Zutrittsbegrenzungsobjekt mit Barriere mit beschränkter horizontaler und vertikaler Ausdehnung,Absperrpfosten,
RUE,Zutrittsbegrenzungsobjekt zum Formen eines Pfads,Nagerschutz,"Rattenschutzgerät, Viehschutz"
RUF,Zutrittsbegrenzungsobjekt in Form eines Netzes,Vogelnetz,
S,Objekt zum Erkennen einer menschlichen Handlung und Bereitstellung einer geeigneten Reaktion,Objekt zur menschlichen Interaktion,
SF,Objekt zur menschlichen Interaktion zur Interaktion mit dem Gesicht,Gesichtinteraktionsgerät,
SFA,Gesichtinteraktionsgerät zur Erkennung von Gesichtsaktivität,Augenfokus-Lesegerät,Augenbetätigung für Positionierungsvorgänge
SFB,Gesichtinteraktionsgerät zur Gesichtserkennung,Gesichtserkennungsgerät,
SG,Objekt zur menschlichen Interaktion zur Handbetätigung,Handinteraktionsgerät,
SGA,Handinteraktionsgerät zum Drehen,Drehgriff,"Potentiometer, Drehschalter"
SGB,Handinteraktionsgerät zum Greifen,Griffhebel,"Aktivierungsgerät mit 2 oder 3 Stellungen, Zweihandsteuerung"
SGC,Handinteraktionsgerät zum Drücken,Schiebegriff,"Notfallknopf, Zweihandsteuerung"
SGD,Handinteraktionsgerät zur Hebelbetätigung,Hebelstange,
SGE,Handinteraktionsgerät zum Ziehen,Zughebel,"Notseilzug, mechanischer Hebel"
SGF,Handbetätigungsgerät zum Drehen eines passenden Schließzylinders oder Schließmechanismus,Schlüssel,Schlüsselschalter
SH,Objekt zur menschlichen Interaktion zur Fußbedienung,Fußinteraktionsgerät,
SHA,Fußinteraktionsgerät zum Drücken mit dem Fuß,Pedalschalter,Aktivierungsgerät mit 2 oder 3 Stellungen
SJ,Objekt zur menschlichen Interaktion zur Fingerbetätigung,Fingerinteraktionsgerät,
SJA,Fingerinteraktionsgerät zur Hebelbetätigung,Kippschalter,Schalter mit zwei Stellungen
SJB,Fingerinteraktionsgerät zum Drücken,Druckknopf,"Niederhalter, Tastatur, Druckschalter"
SJC,Fingerinteraktionsgerät zum Berühren,Druckbetätiger,"Schalter mit zwei Stellungen, Touchpad"
SJD,Fingerinteraktionsgerät mit Drehrad zum Drehen nach vorn oder hinten,Drehrad,
SK,Manuelles Interaktionsobjekt zum Bewegen bzw. Positionieren,Bewegungsinteraktionsgerät,
SKA,Bewegungsinteraktionsgerät mit beschränkten Positionierungs-und Auswahlvorgängen,Joystick,Kugelmaus
SKB,Bewegungsinteraktionsgerät mit unbeschränkten Positionierungs- und Auswahlvorgängen,Maus,Lichtstift
SZ,Objekt zur menschlichen Interaktion mit mehreren Interaktionsmitteln,Mehrfachinteraktionsgerät,
SZA,"Mehrfachinteraktionsgerät, das manuelle Mittel einbezieht",Bedienfeld,"Gamepad, Gamecontroller, Joypad"
T,Objekt zum Transformieren,Transformierobjekt,
TA,Transformierobjekt für elektrische Energie bei Beibehaltung von Wechsel- oder Gleichstrom,Stromtransformierendes Objekt,
TAA,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom ohne Veränderung der Frequenz,Transformator,Trenntransformator
TAB,Stromtransformierendes Objekt zum Wechsel von Gleichstrom zu Gleichstrom,Gleichspannungswandler,
TAC,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom mit Veränderung der Frequenz,Frequenzumrichter,Kraftantrieb
TAD,Stromtransformierendes Objekt zum Wechsel von Wechselstrom zu Wechselstrom mit Veränderung des Winkels zwischen Spannungen und Strömen,Phasenschieber,
TB,Transformierobjekt für elektrische Energie mit Änderung zwischen Wechsel- und Gleichstrom,Stromkonvertierungsobjekt,
TBA,Stromkonvertierungsobjekt zum Konvertieren von Wechselstrom zu Gleichstrom,Stromrichter,Stromversorgung
TBB,Stromkonvertierungsobjekt zum Konvertieren von Gleichstrom zu Wechselstrom,Wechselrichter,Stromversorgung
TBC,Stromkonvertierungsobjekt zum Konvertieren von Wechsel- zu Gleichstrom oder von Gleichstrom zu Wechselstrom,Doppeltgerichteter Konverter,
TC,Transformierobjekt für elektrische Energie von Wechsel- und Gleichstrom zu Wechselstrom oder Gleichstrom,Universelle Stromversorgung,
TCA,Universelle Stromversorgung für Wechselstrom,Universelle Wechselsstromversorgung,Stromversorgung
TCB,Universelle Stromversorgung für Gleichstrom,Universelle Gleichstromversorgung,Stromversorgung
TF,Transformierobjekt für Signale,Signalkonvertierungsobjekt,
TFA,Signalkonvertierungsobjekt zum Beibehalten der Signalform,Verstärker,
TFB,Signalkonvertierungsobjekt zwischen verdrahteter und unverdrahteter Form,Signalantenne,"Antenne, Funkantenne, induktive Signalantenne, IR-Diode, IR-Sender, Oszillator, RF-Signal-antenne"
TFC,Signalkonvertierungsobjekt zwischen zwei verdrahteten Formen,Signalumformer,"Optokoppler, Umformer"
TFD,Signalkonvertierungsobjekt zwischen einer elektrischen und optischen Form,Optischer Empfänger/Messwertgeber,
TFE,Signalkonvertierungsobjekt zwischen Schallwellen und elektrischen Signalen,Telefon,"Handy, Mobiltelefon, Telefon"
TL,Transformierobjekt für mechanische Energie,Objekt zum Transformieren von mechanischer Energie,
TLA,Objekt zum Transformieren von mechanischer Energie zur Veränderung der Geschwindigkeit,Getriebe,"Automatikgetriebe, Regelkupplung, Schaltgetriebe, Drehzahlwandler"
TLB,Objekt zum Transformieren von mechanischer Energie zur Veränderung des Drehmoments,Drehmomentwandler,
TLC,Objekt zum Transformieren von mechanischer Energie zur Veränderung der Kraft,Hebel,
TM,Transformierobjekt für Materie durch Massereduktion,Massereduktionsobjekt,
TMA,Massereduktionsobjekt für mechanische Prozesse,Bohrmaschine,"Bohrer, Schleifmaschine, Stanzmaschine, Säge, Drehmaschine"
TMB,Massereduktionsobjekt für thermische Prozesse,Thermische Trennvorrichtung,"Elektronenentladungs-Sägemaschine, Gasschneidemaschine, Plasmabogen-Schneidemaschine"
TMC,Massereduktionsobjekt für chemische Prozesse,Ätzmaschine,"chemisches Eintauchgerät, chemisches Sprühgerät"
TP,Transformierobjekt für Materie durch Formänderung,Materieumformungsobjekt,
TPA,Materieumformungsobjekt zum Schmieden,Schmiedemaschine,"Kalteschmiedemaschine, Warmschmiedemaschine"
TPB,Materieumformungsobjekt zum Extrudieren,Strangpresse,
TPC,Materieumformungsobjekt zum Ziehen,Drahtziehmaschine,Rohrziehmaschine
TPD,Materieumformungsobjekt durch Rollen oder Walzen,Walzmaschine,"Rändelmaschine, Blechwalze, Schermaschine, Gewindeerzeugungsmaschine"
TPE,Materieumformungsobjekt zum Biegen,Biegemaschine,"Bördelmaschine, Verschließmaschine"
TPF,Materieumformungsobjekt zum Erzeugen einer hohen Energierate,Elektromagnetische Umformmaschine,"elektrohydraulische Umformmaschine, Explosionsumformmaschine"
TR,Transformierobjekt für Strahlung durch Photosynthese,Pflanze,
TRA,Pflanze mit einem einzelnen hölzernen Stamm,Baum,
TRB,Pflanze mit mehreren hölzernen Stämmen,Strauch,Busch
TRC,Pflanze mit langen Trieben und Kletterorganen,Ranker,
TRD,"Pflanze, die nicht hölzern oder nur geringfügig hölzern ist",Kraut,"Blume, Gras, Gemüsepflanze"
U,Objekt zur Verortung anderer Objekte,Halteobjekt,
UA,Halteobjekt zur Fixierung in einer bestimmten Position,Positionierobjekt,
UAA,Positionierobjekt für Leiter,Isolator,
UAB,Positionierobjekt für Kabel,Kabelverschraubung,"Kabelzugang, Kabeleingang"
UAC,Positionierobjekt für Lichtquellen,Beleuchtungskörper,Leuchte
UAD,Positionierobjekt für Tritte,Treppenwange,Flansch
UAE,Positionierobjekt für Abdeckungen,Latte,
UAF,Positionierobjekt für Pflanzen,Pflock,"Spalier, Gitter"
UAG,Positionierobjekt für Gleisabstände,Gleismessgerät,Spurmessgerät
UAH,Positionierobjekt für Werkzeug oder Werkstück,Klemme,"Spannfutter, Anschlag, Backe, Drehfutter"
UAJ,Positionierobjekt für Fahrzeuge,Fahrzeugständer,Fahrradständer
UB,Halteobjekt zum Tragen,Trageobjekt,
UBA,Trageobjekt zwischen zwei diskreten Positionen,Kabelgerüst,"Kabelkanal, Kabelleiter, Kabelpritsche, Kabelführung, Kabelrohr, Gerätestützstruktur, Kabeltrasse"
UBB,Trageobjekt an einer diskreten Position mit vertikalem Zug,Bügel,"Aufhängebügel, Gurt, Seil"
UBC,Trageobjekt an einer diskreten Position mit Stufen,Trittstufe,"Sprosse, Stufe"
UBD,Trageobjekt an einer diskreten Position mit vertikalem Schub,Mast,"Leitungsmast, Stange, Pfosten, Halteklammer, Fernleitungsmast"
UBE,Trageobjekt an einer diskreten Ebene mit Schub,Tabelle,"Laufsteg, Operationstisch, Plattform"
UBF,Trageobjekt zwischen diskreten Positionen auf einer festgelegten Ebene,Portal,
UC,Halteobjekt zum Umschließen,Umschließobjekt,
UCA,Umschließobjekt für Geräte,Schaltschrank,"Schrank, elektrische Umhüllung, elektrische Schalttafel, Wartungskammer, Server-Gestell, Schlauchtrommelkasten, Sicherheitsschrank, Sensorgehäuse, Untergestell"
UCB,Umschließobjekt für Pflanzenwurzeln,Pflanzenerde,
UCC,Umschließobjekt für Bereichslüftung,Abzugshaube,Sicherheitsschrank
UL,Halteobjekt zur Bildung einer Strukturstütze,Strukturstützobjekt,
ULA,Strukturstützobjekt in Form einer aggregierten Materialschicht,Tragschicht,"Aggregatunterplatte, Basisschicht, Verbindungsschicht"
ULB,"Strukturstützobjekt in Form einer Schutzvorrichtung, mit der eine darüberliegenden Struktur gestützt wird",Konsole,Kragstein
ULC,Strukturstützobjekt in einer gebogenen oder geraden linearen Form zum Übertragen von Druckkräften auf umgebende Medien,Pfahl,"Gebäudefundament, Brückendeck, Sockel"
ULD,Strukturstützobjekt in einer gebogenen oder geraden linearen Form zum Übertragen von Druckkräften auf andere Strukturobjekte,Säule,"Baluster, Druckelement, Pfeiler, Fundamentsäule, Strebe"
ULE,"Strukturstützobjekt in einer geraden linearen Form, die Biegemomenten standhält",Balken,Schwellbalken
ULF,"Strukturstützobjekt in einer geraden linearen Form, die Zugkräften standhält",Zugstrebe,"Erdanker, Bodenanker, Seil, Zuganker"
ULG,Strukturstützobjekt in Form eines Blocks,Block,"Ziegelstein, Fundamentblock, Maschinenfundament, Stein"
ULH,"Strukturstützobjekt in einer gebogenen linearen Form, die Biegemomenten standhält",Bogen,
ULJ,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Druckkräften und Biegemomenten standhält",Stützpfeiler,
ULK,"Strukturstützobjekt zum Verlegen einer ebenen Oberfläche, die Biegemomenten standhält",Rohplatte,"Basismaterial, Brückendeck, Betonplatte, Platte, Bodenplatte, Grundplatte, Lochdeck, Brett"
ULL,"Strukturstützobjekt mit einer stehenden ebenen oder gebogenen Oberfläche, die Biegemomenten standhält",Haltemauer,"Stützmauer, Gravitationsmauer, Spundwand"
ULM,Strukturstützobjekt mit einer ebenen oder gebogenen Abtastebene Form zum Halten von Biegemomenten,Wandplatte,"Betonelement, Gegenwand, Fundamentwand, tragende Wand, Wand"
ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,"Bilgenplatte, Rumpfplatte, Schiffs-rumpfplatte, tragende Schale"
ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,"Dom, Lamelle, Rohrtunnel, Gewölbe"
ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,"Platte, Druckverteiler, Auflagekeil"
ULR,"Strukturstützobjekt mit einer gebogenen linearen Form, die Zugkräften standhält",Tragseil,
UM,Halteobjekt zur Verstärkung,Verstärkungsobjekt,
UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,"Verstärkungsbalken, Felsanker"
UMB,Verstärkungsobjekt in Form eines eingelassenen Netzes oder Stoffes,Verstärktes Netz,Betonstahlnetz
UMC,Verstärkungsobjekt in Form einer Masseschicht,Verstärkte Masseschicht,Pflasterverstärkung
UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,"Betoneinspritzung, Kalksäule"
UME,Verstärkungsobjekt in Form einer Verschlussklappe,Sicherheitsschließblech,
UMF,Verstärkungsobjekt in Form einer Zwischenfüllung,Spleißung,Spleißplatte
UMG,Verstärkungsobjekt zur vertikalen Dränage,Vertikaldrän,
UMH,Verstärkungsobjekt in Form von Betonspritzen,Betonspritzen,
UMJ,Verstärkungsobjekt in Form von Betonauskleidung,Betonauskleidung,
UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,"Stützpfeiler, Widerlager, Strebebogen, Rippe"
UML,Verstärkungsobjekt in Form einer Diagonalverbindung,Diagonalverbindung,
UMM,Verstärkungsobjekt in Form von Kabeln,Stabilisierungskabel,
UMN,Verstärkungsobjekt in Form einer horizontalen Schiene,Horizontalschiene,
UMP,"Verstärkungsobjekt, mit dem aufgrund seines Gegengewichts Boden stabilisiert wird",Erddruckwall,
UN,Halteobjekt zur Umrahmung anderer Objekte,Umrahmungsobjekt,
UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,"Türrahmen, Fensterrahmen"
UNB,Umrahmungsobjekt mit unterstem Teil der Türfläche,Türschwelle,
UNC,Umrahmungsobjekt mit beweglichem Rahmen,Beweglicher Rahmen,Fensterscheibenrahmen
UND,Umrahmungsobjekt zum Separieren eines Rahmens oder einer Tür,Fenstersprossenrahmen,Fenstersprosse
UP,Halteobjekt mit nicht statischer Montage,Fugenobjekt,
UPA,Fugenobjekt mit Lager,Lager,"Kugellager, Rollenlager, Gleitlager"
UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,"elastische Lagerung, Dehnungsfuge, Bewegungsfuge"
UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,"Zement, Strukturverbindung"
UQ,Halteobjekt mit statischer Montage,Befestigungsobjekt,
UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,"Befestigungsschelle, Nagel, Niete"
UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,"Befestigungsschelle, Mutter, Schienenbefestigung, Schraube"
UQC,Befestigungsobjekt mit chemischer Verbindung,Chemische Verbindung,Schweißnaht
UT,Halteobjekt zum Ausgleichen,Ausgleichungsobjekt,
UTA,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Hinzufügen von Material,Füllung,
UTB,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Entfernen von Material,Ausgrabung,Unterbau
UU,Halteobjekt mit vorhandenem Boden,Vorhandener Boden,
UUA,Bestehender Boden aus Fels,Fels,
UUB,Bestehender Boden aus Reiberde,Reiberde,
UUC,Bestehender Boden aus bindiger Erde,Bindige Erde,
UUD,Bestehender Boden aus organischer Erde,Organische Erde,
UUE,Bestehender Boden aus eingefülltem Material,Eingefülltes Material,
W,Objekt zum Leiten von einem Ort zu einem anderen,Leitobjekt,
WB,Leitobjekt für elektrische Hochspannungsenergie,Hochspannungsenergie-Leitobjekt,
WBA,Hochspannungsenergieleitobjekt mit Sammelschiene,Hochspannungssammelschiene,
WBB,Hochspannungsenergieleitobjekt mit Kabel,Hochspannungskabel,
WBC,Hochspannungsenergieleitobjekt mit Draht,Hochspannungsdraht,
WBD,"Hochspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere",Hochspannungsbuchse,
WD,Leitobjekt für elektrische Niederspannungsenergie,Niederspannungsenergie-Leitobjekt,
WDA,Niederspannungsenergieleitobjekt mit Sammelschiene,Niederspannungssammelschiene,
WDB,Niederspannungsenergieleitobjekt mit Kabel,Niederspannungskabel,
WDC,Niederspannungsenergieleitobjekt mit Draht,Niederspannungsdraht,
WDD,"Niederspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere",Niederspannungsdurchführung,
WE,Leitobjekt für ein Referenzpotential,Referenzpotential-Leitobjekt,
WEA,Referenzpotential-Leitobjekt für Erde mit Sammelschiene,Erdungsschiene,
WEB,Referenzpotential-Leitobjekt für Erde mit Kabel,Erdungskabel,
WEC,Referenzpotential-Leitobjekt mit Sammelschiene,Potentialausgleichsschiene,
WED,Referenzpotential-Leitobjekt mit Kabel,Potentialausgleichskabel,
WG,Leitobjekt für elektrische Signale,Elektrisches Signalleitobjekt,
WGA,Elektrisches Signalleitobjekt zum Steuern und Messen,Steuerkabel,
WGB,Elektrisches Signalleitobjekt zur Datenübertragung,Datenkabel,Datenbus
WGC,Elektrisches Signalleitobjekt durch ein Gehäuse oder eine Wand,Durchführung für elektrische Signale,
WH,Leitobjekt für Licht,Lichtleitobjekt,
WHA,Lichtleitobjekt zur Signalübertragung,Faseroptisches Kabel,
WHB,Lichtleitobjekt zur Lichtübertragung,Optische Lichtfaser,"optischer Lichtleiter, optischer Wellenleiter"
WHC,Lichtleitobjekt zur definierten Lichtbrechung,Linse,
WHD,Lichtleitobjekt zur definierten Lichtreflexion,Spiegel,Lichtreflektor
WJ,Leitobjekt für Schall,Schallleitobjekt,
WJA,Schallleitobjekt zur Reflexion,Schallreflektor,
WL,Leitobjekt von festen Stoffen in offener Umschließung,Feststoff-Leitobjekt,
WLA,Feststoff-Leitobjekt zum Rollen,Rollentisch,
WLB,Feststoff-Leitobjekt zum Rutschen,Rinne,"geneigte Ebene, Rohrkettenförderer"
WM,Leitobjekt für Flüssigkeitsdurchfluss in offener Umschließung,Leitobjekt in offener Umschließung,
WMA,Leitobjekt in offener Umschließung in einer Schicht,Drainageschicht,"Versickerungsschicht, Belüftungsschicht"
WMB,Leitobjekt in offener Umschließung für Flüssigkeiten in einem offenen Kanal,Abflussrinne,"Regenrinne, Regentraufe, Dachrinne"
WMC,Leitobjekt in offener Umschließung für Flüssigkeiten und mit offener Oberfläche,Flüssigkeitsablassblech,
WMD,Leitobjekt in offener Umschließung für Flüssigkeiten zum Schutz,Wassernase,
WME,Leitobjekt in offener Umschließung für Flüssigkeiten und mit Flüssigkeitsablassprofil,Tropfrinne,
WMF,Leitobjekt in offener Umschließung mit perforierter Röhre,Ablassrohr,"Versickerungsrohr, Belüftungsrohr"
WMG,Leitobjekt in offener Umschließung in einer Kammer,Versickerungskammer,"Belüftungsschacht, Radonschacht"
WP,Leitobjekt für Feststofffluss in geschlossener Umschließung,Leitobjekt in geschlossener Umschließung,
WPA,"Leitobjekt in geschlossener Umschließung in runder, starrer Form",Rohr,
WPB,"Leitobjekt in geschlossener Umschließung in nicht runder, starrer Form",Kanal,Schlot
WPC,Leitobjekt in geschlossener Umschließung in flexibler Form,Schlauch,
WQ,Leitobjekt für mechanische Energie,Objekt zum Leiten von mechanischer Energie,
WQA,Objekt zum Leiten von mechanischer Energie mit Rad,Antriebsachse,Achse
WQB,Objekt zum Leiten von mechanischer Energie mit Riemen,Antriebsriemen,"bewegliche Leitung, V-Riemen"
WQC,Objekt zum Leiten von mechanischer Energie mit Kette,Antriebskette,Kette
WQD,Objekt zum Leiten von mechanischer Energie mit Gestänge,Antriebsgestänge,
WQE,Objekt zum Leiten von mechanischer Energie mit Rad,Rad,"Zahnrad, Getrieberad"
WQF,Objekt zum Leiten von mechanischer Energie mit Zahnstange,Zahnstange,
WQG,Objekt zum Leiten von mechanischer Energie mit Flüssigkeitsverbindung,Hydraulikschlauch,"Hydraulikrohr, Pneumatikschlauch, Pneumatikrohr"
WR,Leitobjekt für gleisgebundene Objekte,Gleisobjekt,
WRA,Gleisobjekt zur Erzeugung eines direkten Pfads,Schiene,Gleisbahn
WRB,Gleisobjekt zur Erzeugung einer Kreuzung,Gleisübergang,
WV,Leitobjekt für Wärmeenergie,Objekt zum Leiten von Wärmeenergie,
WVA,Objekt zum Leiten von Wärmeenergie mit fester Masse,Wärmeleiter,Wärmesenke
WVB,Objekt zum Leiten von Wärmeenergie mit statischer flüssiger Masse,Wärmepaste,
WZ,Leitobjekt mit mehreren Flussarten,Mehrfachfluss-Leitobjekt,
WZA,"Mehrfachfluss-Leitobjekt für elektrische Energie, mechanische Energie, elektrische Signale, optische Signale und/oder Flüssigkeiten",Versorgungsleitungskabel,
X,Objekt zur Bereitstellung einer Schnittstelle zu einem anderen Objekt,Schnittstellenobjekt,
XB,Schnittstellenobjekt für Hochspannungsstrom,Hochspannungs-Verbindungsobjekt,
XBA,Hochspannungs-Verbindungsobjekt für eine einzelne Verbindung,Hochspannungsanschlusspunkt,"Klemme, Kabelkopf, Hochspannungskabelverbindung, Anschlussverteiler"
XBB,Hochspannungs-Verbindungsobjekt für Steckverbindungen,Hochspannungsdose,Hochspannungsstecker
XBC,Hochspannungs-Verbindungsobjekt für mehrere feste Verbindungen,Hochspannungsklemmkasten,
XD,Schnittstellenobjekt für Niederspannungsstrom,Niederspannungs-Verbindungsobjekt,
XDA,Niederspannungs-Verbindungsobjekt für eine einzelne Verbindung,Elektrische Anschlussklemme,"Niederspannungskabelverbindung, Niederspannungsanschlusspunkt"
XDB,Niederspannungs-Verbindungsobjekt für Steckverbindungen,Niederspannungssteckdose,"Niederspannungsstecker, Stecker, Dose"
XDC,Niederspannungs-Verbindungsobjekt für mehrere feste Verbindungen,Anschlusskasten,
XDD,Niederspannungs-Verbindungsobjekt zur festen Verbindung eines flexiblen Kabels für elektrische Geräte,Anschlussklemme,
XDE,Niederspannungs-Verbindungsobjekt für mehrere steckbare elektrische Geräte,Stromverteiler,
XE,Schnittstellenobjekt für Erd- oder Bezugspotential,Potentialverbindungsobjekt,
XEA,Potentialverbindungsobjekt zum Anschluss an PE-Leiter,PE-Klemme,"Schutzleiteranschluss, Schutzerdungsleiteranschluss"
XEB,Potentialverbindungsobjekt zum Anschluss an PB-Leiter,PB-Klemme,Schutzverbindungsklemme
XEC,Potentialverbindungsobjekt zum Anschluss an FE-Leiter,FE-Klemme,Funktionserdungsklemme
XED,Potentialverbindungsobjekt zum Anschluss an FB-Leiter,FB-Klemme,Funktionspotentialklemme
XEE,Potentialverbindungsobjekt zur Erzeugung einer elektrischen Masseverbindung,Masseelektrode,
XEF,Potentialverbindungsobjekt zum Verbinden von Blitzschlag mit einen elektrischen Stromkreis,Kollektor,
